Date,MaxTemp,MaxTime,MinTemp,MinTime,cloudCover,precipProbability,precipAmount,sunriseTime,sunsetTime,windSpeed
3/1/17,68.48,3/1/17 5:00,51.69,2/28/17 9:18,0.96,0.91,0.0184,2/28/17 12:25,2/28/17 23:46,6.2
3/2/17,69.75,3/1/17 10:30,36,3/2/17 5:00,0.53,1,0.2422,3/1/17 12:24,3/1/17 23:47,9.69
3/3/17,51.93,3/2/17 21:49,30.87,3/2/17 11:39,0.18,0.36,0.0028,3/2/17 12:23,3/2/17 23:48,4.63
3/4/17,44.03,3/3/17 21:51,26.49,3/3/17 14:06,0.14,0.7,0.0017,3/3/17 12:21,3/3/17 23:49,2.26
3/5/17,65.98,3/4/17 21:24,27.4,3/4/17 10:06,0.03,0,0,3/4/17 12:20,3/4/17 23:50,4.69
3/6/17,63.2,3/5/17 18:03,38.32,3/5/17 8:54,0.55,0,0,3/5/17 12:18,3/5/17 23:51,5.5
3/7/17,64.56,3/7/17 3:41,50.67,3/6/17 6:00,0.96,1,0.0398,3/6/17 12:17,3/6/17 23:52,7.65
3/8/17,61.29,3/7/17 7:26,41.72,3/8/17 4:13,0.63,1,0.1956,3/7/17 12:15,3/7/17 23:53,6.45
3/9/17,65.46,3/8/17 20:46,38.55,3/8/17 11:34,0,0,0,3/8/17 12:14,3/8/17 23:54,4.96
3/10/17,75.12,3/9/17 20:04,41.59,3/9/17 10:09,0.15,1,0.0189,3/9/17 12:12,3/9/17 23:55,4.45
3/11/17,54.04,3/10/17 6:00,30.74,3/10/17 13:45,0.16,0.65,0.0065,3/10/17 12:11,3/10/17 23:56,7.68
3/12/17,34.76,3/11/17 20:33,26.2,3/11/17 11:24,0.8,0,0,3/11/17 12:10,3/11/17 23:57,5.29
3/13/17,42.7,3/12/17 21:50,21.81,3/12/17 10:43,0,0,0,3/12/17 12:08,3/12/17 23:58,3.45
3/14/17,37.77,3/13/17 22:24,29.11,3/13/17 10:45,0.7,0.85,0.0371,3/13/17 12:07,3/13/17 23:59,2.42
3/15/17,29.53,3/14/17 19:05,19.44,3/15/17 4:00,0.95,0,0,3/14/17 12:05,3/15/17 0:00,7.76
3/16/17,33.54,3/15/17 21:25,16.39,3/15/17 13:09,0.15,0,0,3/15/17 12:04,3/16/17 0:00,4.45
3/17/17,47.88,3/16/17 21:56,19.43,3/16/17 11:45,0.42,0,0,3/16/17 12:02,3/17/17 0:01,2.38
3/18/17,55.41,3/17/17 23:57,41.15,3/17/17 5:00,0.95,0.78,0.0126,3/17/17 12:01,3/18/17 0:02,4.83
3/19/17,53.81,3/18/17 19:17,37.33,3/19/17 4:00,0.26,0,0,3/18/17 11:59,3/19/17 0:03,5.55
3/20/17,59.64,3/19/17 21:47,29.15,3/19/17 10:10,0.09,0,0,3/19/17 11:57,3/20/17 0:04,1.82
3/21/17,77.73,3/20/17 18:14,44.06,3/20/17 9:55,0.1,0,0,3/20/17 11:56,3/21/17 0:05,3.91
3/22/17,62.6,3/21/17 20:02,45.7,3/21/17 12:18,0.22,0,0,3/21/17 11:54,3/22/17 0:06,6.85
3/23/17,53.78,3/22/17 21:04,34.15,3/22/17 12:00,0.05,0,0,3/22/17 11:53,3/23/17 0:07,7.19
3/24/17,55.7,3/23/17 22:51,31.01,3/23/17 10:48,0.48,0.91,0.0209,3/23/17 11:51,3/24/17 0:08,3.69
3/25/17,74.79,3/24/17 20:56,51.84,3/24/17 5:00,0.26,0,0,3/24/17 11:50,3/25/17 0:09,7.53
3/26/17,72.92,3/25/17 17:51,57.96,3/25/17 12:41,0.64,0.26,0.0028,3/25/17 11:48,3/26/17 0:10,6.2
3/27/17,65.93,3/26/17 21:46,51.12,3/27/17 4:00,0.75,1,0.0167,3/26/17 11:47,3/27/17 0:10,5.88
3/28/17,68.95,3/27/17 18:39,48.52,3/27/17 8:58,0.5,1,0.0628,3/27/17 11:45,3/28/17 0:11,3.22
3/29/17,60.91,3/28/17 21:44,52.69,3/29/17 3:18,0.91,0,0,3/28/17 11:44,3/29/17 0:12,3.58
3/30/17,73.53,3/29/17 22:35,48.4,3/29/17 11:58,0.4,0,0,3/29/17 11:42,3/30/17 0:13,5.62
3/31/17,77.21,3/30/17 19:21,55.29,3/31/17 4:00,0.68,0.81,0.1021,3/30/17 11:41,3/31/17 0:14,7.25
4/1/17,54.4,3/31/17 5:00,43.07,4/1/17 4:00,0.97,0.82,0.0109,3/31/17 11:39,4/1/17 0:15,5.8
4/2/17,56.63,4/1/17 21:15,40.88,4/1/17 10:46,0.78,0,0,4/1/17 11:38,4/2/17 0:16,3.7
4/3/17,71.4,4/2/17 21:51,39.55,4/2/17 9:27,0.01,0,0,4/2/17 11:36,4/3/17 0:17,3.39
4/4/17,70.45,4/3/17 17:01,57.42,4/3/17 8:51,0.57,0.89,0.0423,4/3/17 11:35,4/4/17 0:18,5.19
4/5/17,75.39,4/4/17 21:29,52.28,4/4/17 11:33,0.35,0.39,0.0088,4/4/17 11:33,4/5/17 0:18,4.78
4/6/17,75.64,4/5/17 19:56,51.43,4/6/17 4:00,0.54,0.26,0.0005,4/5/17 11:32,4/6/17 0:19,8.39
4/7/17,57.46,4/6/17 21:01,35.36,4/6/17 8:06,0.89,1,0.0175,4/6/17 11:30,4/7/17 0:20,8.9
4/8/17,60.72,4/7/17 21:12,37.76,4/7/17 11:04,0.07,0,0,4/7/17 11:29,4/8/17 0:21,5.15
4/9/17,73.09,4/8/17 22:01,34.92,4/8/17 11:42,0,0,0,4/8/17 11:27,4/9/17 0:22,3.07
4/10/17,79.05,4/9/17 20:51,52.54,4/9/17 10:58,0,0,0,4/9/17 11:26,4/10/17 0:23,7
4/11/17,79.57,4/10/17 20:35,64.01,4/10/17 11:51,0.4,0,0,4/10/17 11:24,4/11/17 0:24,8.31
4/12/17,70.05,4/11/17 5:00,54.94,4/12/17 4:00,0.59,0,0,4/11/17 11:23,4/12/17 0:25,3.21
4/13/17,76.45,4/12/17 21:52,44.44,4/12/17 11:32,0,0,0,4/12/17 11:22,4/13/17 0:26,1.71
4/14/17,82.52,4/13/17 21:11,48.36,4/13/17 11:38,0.03,0,0,4/13/17 11:20,4/14/17 0:27,1.73
4/15/17,85.05,4/14/17 18:18,55.38,4/14/17 11:32,0.3,0,0,4/14/17 11:19,4/15/17 0:28,1.63
4/16/17,82.79,4/15/17 20:44,61.99,4/15/17 11:44,0.34,0,0,4/15/17 11:17,4/16/17 0:28,5.17
4/17/17,82.57,4/16/17 18:10,62.27,4/17/17 4:00,0.74,1,0.1728,4/16/17 11:16,4/17/17 0:29,5.49
4/18/17,68.7,4/17/17 16:57,57.82,4/18/17 2:12,0.88,0.91,0.0138,4/17/17 11:15,4/18/17 0:30,2.53
4/19/17,78.21,4/18/17 21:49,58.15,4/18/17 7:57,0.86,0,0,4/18/17 11:13,4/19/17 0:31,3.15
4/20/17,84.41,4/19/17 20:47,62.08,4/19/17 10:54,0.48,0.26,0.0032,4/19/17 11:12,4/20/17 0:32,4.15
4/21/17,79.74,4/20/17 19:50,62.96,4/20/17 10:58,0.29,0,0,4/20/17 11:11,4/21/17 0:33,5.71
4/22/17,67.25,4/21/17 5:00,50.32,4/22/17 1:14,0.92,1,0.1018,4/21/17 11:09,4/22/17 0:34,4.95
4/23/17,55.51,4/22/17 22:28,41.7,4/22/17 10:24,0.98,1,0.1082,4/22/17 11:08,4/23/17 0:35,7.74
4/24/17,69.78,4/23/17 22:42,42.58,4/23/17 12:06,0.54,0,0,4/23/17 11:07,4/24/17 0:36,7.23
4/25/17,76.19,4/24/17 22:56,50.45,4/24/17 10:56,0,0,0,4/24/17 11:06,4/25/17 0:37,3.06
4/26/17,78.44,4/25/17 21:40,52.83,4/25/17 10:58,0.08,0,0,4/25/17 11:04,4/26/17 0:38,3.42
4/27/17,84.05,4/26/17 19:04,59.72,4/27/17 4:00,0.41,0.66,0.0327,4/26/17 11:03,4/27/17 0:39,6.26
4/28/17,59.95,4/27/17 23:39,49.54,4/28/17 3:18,0.75,1,0.1001,4/27/17 11:02,4/28/17 0:39,5.66
4/29/17,75.13,4/28/17 23:10,49.95,4/28/17 5:56,0.52,0.44,0.1389,4/28/17 11:01,4/29/17 0:40,3.98
4/30/17,86.36,4/29/17 21:48,66.1,4/29/17 7:13,0.74,1,0.1351,4/29/17 11:00,4/30/17 0:41,5.98
,,,,,,,0.178,,,